"","duration","maxGrip","maxGripTime","maxGripTimeRel","condition","type","period","gripType","num","file","obsisSubj","obsisSession","obsisTrial","fins","stick","stickcm","orientation","stickcmCentered","stickFiveRef","stickNineRef","stickElevenRef","finsSumCoded"
"22",0.3,104.043015045071,0.3,1,"10","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_003.csv","063","002","003","none","eleven",11,"horizontal",3,"eleven","eleven","eleven","none"
"23",0.291666666666667,118.124604689626,0.025,0.0857142857142857,"11","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_003.csv","063","002","003","open","eleven",11,"horizontal",3,"eleven","eleven","eleven","open"
"24",0.258333333333333,121.302436311042,0,0,"12","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_003.csv","063","002","003","closed","eleven",11,"horizontal",3,"eleven","eleven","eleven","closed"
"25",0.225,71.1328774772899,0,0,"1","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","none","five",5,"horizontal",-3,"five","five","five","none"
"26",0.3,71.5541440029119,0.0583333333333333,0.194444444444444,"2","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","open","five",5,"horizontal",-3,"five","five","five","open"
"27",0.258333333333333,67.2788711435262,0,0,"3","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","closed","five",5,"horizontal",-3,"five","five","five","closed"
"28",0.35,82.3561916063852,0,0,"4","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","none","seven",7,"horizontal",-1,"seven","seven","seven","none"
"29",0.333333333333333,86.8283923476934,0.0166666666666667,0.05,"5","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","open","seven",7,"horizontal",-1,"seven","seven","seven","open"
"30",0.225,79.1449288268812,0,0,"6","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","closed","seven",7,"horizontal",-1,"seven","seven","seven","closed"
"31",0.3,98.2103563635667,0.075,0.25,"7","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_002-TRIAL_004.csv","063","002","004","none","nine",9,"horizontal",1,"nine","nine","nine","none"
